id,friendly_name,url,type,sub_type,keyword_type,keyword_case_type,keyword_value,http_username,http_password,port,interval,timeout,status,create_datetime,logs,all_time_uptime_ratio,lastLogTypeBeforeStartDate
793100447,POD_1001095_BLR-V116,https://appapi.qikpod.com:8989/status/1001095,2,,2,1,Device Up,,,,300,30,2,1669138527,"[{'id': 2816219464, 'type': 2, 'datetime': 1669119299, 'duration': 63903, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816212363, 'type': 98, 'datetime': 1669118727, 'duration': 572, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100492,POD_1001098_BLR-J161,https://appapi.qikpod.com:8989/status/1001098,2,,2,1,Device Up,,,,300,30,2,1669138846,"[{'id': 2816216749, 'type': 2, 'datetime': 1669119085, 'duration': 64117, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816216524, 'type': 98, 'datetime': 1669119046, 'duration': 39, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100509,POD_1001102_BLR-K848,https://appapi.qikpod.com:8989/status/1001102,2,,2,1,Device Up,,,,300,30,2,1669138968,"[{'id': 2816218287, 'type': 2, 'datetime': 1669119207, 'duration': 63995, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816218059, 'type': 98, 'datetime': 1669119168, 'duration': 39, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100494,POD_1001146_BLR-T644,https://appapi.qikpod.com:8989/status/1001146,2,,2,1,Device Up,,,,300,30,2,1669138861,"[{'id': 2816216939, 'type': 2, 'datetime': 1669119099, 'duration': 64103, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816216709, 'type': 98, 'datetime': 1669119061, 'duration': 38, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100506,POD_1001160_BLR-U933,https://appapi.qikpod.com:8989/status/1001160,2,,2,1,Device Up,,,,300,30,2,1669138953,"[{'id': 2816218090, 'type': 2, 'datetime': 1669119191, 'duration': 64011, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816217909, 'type': 98, 'datetime': 1669119153, 'duration': 38, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100520,POD_1001173_BLR-R411,https://appapi.qikpod.com:8989/status/1001173,2,,2,1,Device Up,,,,300,30,2,1669139029,"[{'id': 2816219023, 'type': 2, 'datetime': 1669119267, 'duration': 63935, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816218805, 'type': 98, 'datetime': 1669119228, 'duration': 39, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100489,POD_1001263_BLR-W242,https://appapi.qikpod.com:8989/status/1001263,2,,2,1,Device Up,,,,300,30,2,1669138816,"[{'id': 2816216343, 'type': 2, 'datetime': 1669119055, 'duration': 64147, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816216120, 'type': 98, 'datetime': 1669119016, 'duration': 39, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100532,POD_1001296_BLR-Y566,https://appapi.qikpod.com:8989/status/1001296,2,,2,1,Device Up,,,,300,30,2,1669139096,"[{'id': 2816219981, 'type': 2, 'datetime': 1669119335, 'duration': 63867, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816219712, 'type': 98, 'datetime': 1669119296, 'duration': 39, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100475,POD_1001418_BLR-G335,https://appapi.qikpod.com:8989/status/1001418,2,,2,1,Device Up,,,,300,30,2,1669138725,"[{'id': 2816215108, 'type': 2, 'datetime': 1669118963, 'duration': 64239, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816214889, 'type': 98, 'datetime': 1669118924, 'duration': 39, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100496,POD_1001428_LAB-1428,https://appapi.qikpod.com:8989/status/1001428,2,,2,1,Device Up,,,,300,30,2,1669138877,"[{'id': 2816217172, 'type': 2, 'datetime': 1669119115, 'duration': 64087, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816216911, 'type': 98, 'datetime': 1669119076, 'duration': 39, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100526,POD_1001460_BLR-E979,https://appapi.qikpod.com:8989/status/1001460,2,,2,1,Device Up,,,,300,30,2,1669139059,"[{'id': 2816219431, 'type': 2, 'datetime': 1669119297, 'duration': 63905, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816219208, 'type': 98, 'datetime': 1669119259, 'duration': 38, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100530,POD_1001484_LAB-1484,https://appapi.qikpod.com:8989/status/1001484,2,,2,1,Device Up,,,,300,30,2,1669139074,"[{'id': 2816219659, 'type': 2, 'datetime': 1669119313, 'duration': 63889, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816219397, 'type': 98, 'datetime': 1669119274, 'duration': 39, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100460,POD_1001500_BLR-C474,https://appapi.qikpod.com:8989/status/1001500,2,,2,1,Device Up,,,,300,30,2,1669138602,"[{'id': 2816221172, 'type': 2, 'datetime': 1669119422, 'duration': 63780, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816213371, 'type': 98, 'datetime': 1669118802, 'duration': 620, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100470,POD_1001517_BLR-Y434,https://appapi.qikpod.com:8989/status/1001517,2,,2,1,Device Up,,,,300,30,2,1669138678,"[{'id': 2816214536, 'type': 2, 'datetime': 1669118917, 'duration': 64285, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816214277, 'type': 98, 'datetime': 1669118878, 'duration': 39, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100454,POD_1001518_BLR-N171,https://appapi.qikpod.com:8989/status/1001518,2,,2,1,Device Up,,,,300,30,2,1669138557,"[{'id': 2816217970, 'type': 2, 'datetime': 1669119179, 'duration': 64023, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816212755, 'type': 98, 'datetime': 1669118757, 'duration': 422, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100512,POD_1001543_BLR-R776,https://appapi.qikpod.com:8989/status/1001543,2,,2,1,Device Up,,,,300,30,2,1669138983,"[{'id': 2816218440, 'type': 2, 'datetime': 1669119221, 'duration': 63981, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816218246, 'type': 98, 'datetime': 1669119183, 'duration': 38, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100500,POD_1001550_BLR-Q599,https://appapi.qikpod.com:8989/status/1001550,2,,2,1,Device Up,,,,300,30,2,1669138892,"[{'id': 2816217359, 'type': 2, 'datetime': 1669119129, 'duration': 64073, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816217140, 'type': 98, 'datetime': 1669119091, 'duration': 38, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
793100502,POD_1001561_BLR-N114,https://appapi.qikpod.com:8989/status/1001561,2,,2,1,Device Up,,,,300,30,2,1669138922,"[{'id': 2816217779, 'type': 2, 'datetime': 1669119161, 'duration': 64041, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2816217541, 'type': 98, 'datetime': 1669119122, 'duration': 39, 'reason': {'code': 98, 'detail': 'Monitor started'}}]",100.000,{}
